Date,Match,Arena
2024-02-06,Indiana Pacers vs Houston Rockets,Gainbridge Fieldhouse
2024-02-06,Brooklyn Nets vs Dallas Mavericks,Barclays Center
2024-02-06,Miami Heat vs Orlando Magic,Kaseya Center
2024-02-06,New York Knicks vs Memphis Grizzlies,Madison Square Garden (IV)
2024-02-06,Chicago Bulls vs Minnesota Timberwolves,United Center
2024-02-06,Utah Jazz vs Oklahoma City Thunder,Delta Center
2024-02-06,Phoenix Suns vs Milwaukee Bucks,Footprint Center
2024-02-07,Charlotte Hornets vs Toronto Raptors,Spectrum Center
2024-02-07,Washington Wizards vs Cleveland Cavaliers,Capital One Arena
2024-02-07,Boston Celtics vs Atlanta Hawks,TD Garden
2024-02-07,Miami Heat vs San Antonio Spurs,Kaseya Center
2024-02-07,Philadelphia 76ers vs Golden State Warriors,Wells Fargo Center
2024-02-07,Los Angeles Clippers vs New Orleans Pelicans,Crypto.com Arena
2024-02-07,Sacramento Kings vs Detroit Pistons,Golden 1 Center
2024-02-08,Indiana Pacers vs Golden State Warriors,Gainbridge Fieldhouse
2024-02-08,Orlando Magic vs San Antonio Spurs,Amway Center
2024-02-08,Brooklyn Nets vs Cleveland Cavaliers,Barclays Center
2024-02-08,New York Knicks vs Dallas Mavericks,Madison Square Garden (IV)
2024-02-08,Memphis Grizzlies vs Chicago Bulls,FedEx Forum
2024-02-08,Milwaukee Bucks vs Minnesota Timberwolves,Fiserv Forum
2024-02-08,Phoenix Suns vs Utah Jazz,Footprint Center
2024-02-08,Los Angeles Lakers vs Denver Nuggets,Crypto.com Arena
2024-02-08,Portland Trail Blazers vs Detroit Pistons,Moda Center
2024-02-09,Philadelphia 76ers vs Atlanta Hawks,Wells Fargo Center
2024-02-09,Boston Celtics vs Washington Wizards,TD Garden
2024-02-09,Toronto Raptors vs Houston Rockets,Scotiabank Arena
2024-02-09,Milwaukee Bucks vs Charlotte Hornets,Fiserv Forum
2024-02-09,Sacramento Kings vs Denver Nuggets,Golden 1 Center
2024-02-09,Los Angeles Lakers vs New Orleans Pelicans,Crypto.com Arena
2024-02-10,Dallas Mavericks vs Oklahoma City Thunder,American Airlines Center
2024-02-10,Los Angeles Clippers vs Detroit Pistons,Crypto.com Arena
2024-02-10,Brooklyn Nets vs San Antonio Spurs,Barclays Center
