TEAM_NAME,TEAM_ID,GP,W,L,W_PCT,MIN,E_OFF_RATING,E_DEF_RATING,E_NET_RATING,E_PACE,E_AST_RATIO,E_OREB_PCT,E_DREB_PCT,E_REB_PCT,E_TM_TOV_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,E_OFF_RATING_RANK,E_DEF_RATING_RANK,E_NET_RATING_RANK,E_AST_RATIO_RANK,E_OREB_PCT_RANK,E_DREB_PCT_RANK,E_REB_PCT_RANK,E_TM_TOV_PCT_RANK,E_PACE_RANK
Indiana Pacers,1610612754,50,27,23,0.54,2400.0,117.9,117.1,0.9,105.2,20.8,0.247,0.738,0.491,0.129,1,13,14,14,3,4,26,13,1,17,25,23,11,1
Washington Wizards,1610612764,48,9,39,0.188,2304.0,109.5,117.2,-7.7,105.2,19.5,0.198,0.707,0.45,0.13,17,29,28,29,22,25,27,26,8,30,30,30,12,1
Milwaukee Bucks,1610612749,48,32,16,0.667,2319.0,118.3,114.1,4.2,104.2,18.7,0.224,0.762,0.503,0.124,17,5,5,6,18,1,19,8,18,25,12,15,4,3
Atlanta Hawks,1610612737,48,21,27,0.438,2319.0,115.1,118.0,-2.9,104.0,17.8,0.282,0.741,0.503,0.131,17,21,22,22,18,12,28,23,28,3,24,16,14,4
San Antonio Spurs,1610612759,49,10,39,0.204,2362.0,107.6,116.0,-8.4,104.0,20.3,0.227,0.748,0.484,0.142,5,27,28,28,10,28,24,27,4,24,22,24,23,4
Los Angeles Lakers,1610612747,50,25,25,0.5,2420.0,111.5,112.6,-1.1,103.3,19.8,0.2,0.764,0.492,0.136,1,17,18,17,2,20,15,20,6,29,10,22,19,6
Detroit Pistons,1610612765,48,6,42,0.125,2314.0,109.3,118.4,-9.1,103.0,18.6,0.252,0.764,0.503,0.151,17,30,30,30,20,26,29,29,19,14,9,17,29,7
Dallas Mavericks,1610612742,48,26,22,0.542,2304.0,115.2,115.4,-0.1,102.7,18.2,0.228,0.732,0.475,0.12,17,14,13,13,22,9,23,17,21,23,28,29,2,8
Utah Jazz,1610612762,50,24,26,0.48,2425.0,113.1,116.1,-3.0,102.6,19.4,0.289,0.752,0.524,0.152,1,18,20,18,1,16,25,24,10,2,19,2,30,9
Oklahoma City Thunder,1610612760,49,34,15,0.694,2362.0,117.6,109.1,8.5,102.4,19.4,0.209,0.724,0.48,0.123,5,2,2,2,10,5,3,1,9,28,29,26,3,10
Sacramento Kings,1610612758,47,28,19,0.596,2281.0,114.3,114.1,0.2,102.2,19.9,0.239,0.781,0.504,0.13,24,10,10,10,24,14,17,16,5,19,1,13,13,11
Golden State Warriors,1610612744,45,21,24,0.467,2185.0,115.2,114.9,0.4,101.8,19.6,0.277,0.758,0.517,0.141,30,21,17,21,30,11,22,15,7,4,15,5,22,12
Memphis Grizzlies,1610612763,49,18,31,0.367,2362.0,104.9,110.8,-5.9,101.5,18.0,0.221,0.757,0.48,0.143,5,24,24,24,10,30,8,25,24,27,16,27,24,13
Philadelphia 76ers,1610612755,47,30,17,0.638,2266.0,116.7,111.0,5.6,101.4,17.9,0.252,0.736,0.494,0.118,24,8,8,9,26,6,11,5,25,13,26,20,1,14
Toronto Raptors,1610612761,48,17,31,0.354,2314.0,112.5,114.6,-2.1,101.4,20.5,0.251,0.755,0.497,0.132,17,25,24,25,20,19,21,22,3,15,18,18,16,14
Houston Rockets,1610612745,48,23,25,0.479,2329.0,111.3,109.7,1.6,101.3,18.1,0.236,0.772,0.506,0.124,17,19,18,19,17,23,6,12,23,20,5,12,7,16
New Orleans Pelicans,1610612740,49,28,21,0.571,2357.0,115.2,111.0,4.2,101.1,19.1,0.253,0.766,0.51,0.131,5,10,11,11,14,10,10,8,12,12,8,10,15,17
Portland Trail Blazers,1610612757,49,15,34,0.306,2377.0,106.0,114.6,-8.6,101.1,16.3,0.26,0.734,0.482,0.145,5,26,26,26,6,29,20,28,30,7,27,25,26,17
Orlando Magic,1610612753,49,26,23,0.531,2367.0,110.1,109.1,0.9,100.8,17.8,0.259,0.773,0.511,0.144,5,14,14,15,8,24,4,13,27,8,3,9,25,19
Phoenix Suns,1610612756,49,28,21,0.571,2367.0,115.5,113.0,2.4,100.7,19.1,0.253,0.75,0.516,0.146,5,10,11,11,8,8,16,11,13,11,21,7,27,20
Boston Celtics,1610612738,49,37,12,0.755,2377.0,117.9,109.4,8.5,100.6,18.5,0.248,0.763,0.517,0.124,5,1,1,1,6,3,5,1,20,16,11,6,5,21
